case_id,activity,enable_time,start_time,end_time,resource
22,AML check,2025-06-24 11:25:00.000000+00:00,2025-06-24 11:25:00.000000+00:00,2025-06-24 11:55:00.000000+00:00,UnifiedResource_5
22,Check credit history,2025-06-24 11:25:00.000000+00:00,2025-06-24 11:25:00.000000+00:00,2025-06-24 11:51:40.000000+00:00,UnifiedResource_4
22,Appraise property,2025-06-24 11:25:00.000000+00:00,2025-06-24 11:25:00.000000+00:00,2025-06-24 11:55:00.000000+00:00,UnifiedResource_11
14,Cancel application,2025-06-24 11:29:10.000000+00:00,2025-06-24 11:29:10.000000+00:00,2025-06-24 11:49:10.000000+00:00,UnifiedResource_9
16,Approve application,2025-06-24 11:29:10.000000+00:00,2025-06-24 11:29:10.000000+00:00,2025-06-24 11:47:30.000000+00:00,UnifiedResource_1
17,Cancel application,2025-06-24 11:29:10.000000+00:00,2025-06-24 11:29:10.000000+00:00,2025-06-24 11:49:10.000000+00:00,UnifiedResource_3
23,Check application form completeness,2025-06-24 11:30:00.000000+00:00,2025-06-24 11:30:00.000000+00:00,2025-06-24 11:55:00.000000+00:00,UnifiedResource_2
19,Approve loan offer,2025-06-24 11:44:10.000000+00:00,2025-06-24 11:44:10.000000+00:00,2025-06-24 11:59:10.000000+00:00,UnifiedResource_16
21,Design loan offer,2025-06-24 11:54:10.000000+00:00,2025-06-24 11:54:10.000000+00:00,2025-06-24 12:44:10.000000+00:00,UnifiedResource_10
22,Assess loan risk,2025-06-24 11:55:00.000000+00:00,2025-06-24 11:55:00.000000+00:00,2025-06-24 12:24:10.000000+00:00,UnifiedResource_13
23,AML check,2025-06-24 11:55:00.000000+00:00,2025-06-24 11:55:00.000000+00:00,2025-06-24 12:25:00.000000+00:00,UnifiedResource_0
23,Check credit history,2025-06-24 11:55:00.000000+00:00,2025-06-24 11:55:00.000000+00:00,2025-06-24 12:21:40.000000+00:00,UnifiedResource_15
23,Appraise property,2025-06-24 11:55:00.000000+00:00,2025-06-24 11:55:00.000000+00:00,2025-06-24 12:25:00.000000+00:00,UnifiedResource_6
19,Cancel application,2025-06-24 11:59:10.000000+00:00,2025-06-24 11:59:10.000000+00:00,2025-06-24 12:19:10.000000+00:00,UnifiedResource_17
24,Check application form completeness,2025-06-24 12:00:00.000000+00:00,2025-06-24 12:00:00.000000+00:00,2025-06-24 12:25:00.000000+00:00,UnifiedResource_18
20,Approve loan offer,2025-06-24 12:14:10.000000+00:00,2025-06-24 12:14:10.000000+00:00,2025-06-24 12:29:10.000000+00:00,UnifiedResource_14
22,Reject application,2025-06-24 12:24:10.000000+00:00,2025-06-24 12:24:10.000000+00:00,2025-06-24 12:57:30.000000+00:00,UnifiedResource_12
23,Assess loan risk,2025-06-24 12:25:00.000000+00:00,2025-06-24 12:25:00.000000+00:00,2025-06-24 12:54:10.000000+00:00,UnifiedResource_1
24,Return application back to applicant,2025-06-24 12:25:00.000000+00:00,2025-06-24 12:25:00.000000+00:00,2025-06-24 13:06:40.000000+00:00,UnifiedResource_9
20,Cancel application,2025-06-24 12:29:10.000000+00:00,2025-06-24 12:29:10.000000+00:00,2025-06-24 12:49:10.000000+00:00,UnifiedResource_3
25,Check application form completeness,2025-06-24 12:30:00.000000+00:00,2025-06-24 12:30:00.000000+00:00,2025-06-24 12:55:00.000000+00:00,UnifiedResource_4
21,Approve loan offer,2025-06-24 12:44:10.000000+00:00,2025-06-24 12:44:10.000000+00:00,2025-06-24 12:59:10.000000+00:00,UnifiedResource_8
23,Design loan offer,2025-06-24 12:54:10.000000+00:00,2025-06-24 12:54:10.000000+00:00,2025-06-24 13:44:10.000000+00:00,UnifiedResource_5
25,Check credit history,2025-06-24 12:55:00.000000+00:00,2025-06-24 12:55:00.000000+00:00,2025-06-24 13:21:40.000000+00:00,UnifiedResource_11
25,Appraise property,2025-06-24 12:55:00.000000+00:00,2025-06-24 12:55:00.000000+00:00,2025-06-24 13:25:00.000000+00:00,UnifiedResource_2
25,AML check,2025-06-24 12:55:00.000000+00:00,2025-06-24 12:55:00.000000+00:00,2025-06-24 13:25:00.000000+00:00,UnifiedResource_16
